ID,RED,IR,RED 4xS,IR 4xS
375,229996,242553,230086,242621.25
376,230135,242624,230114,242656.75
377,230120,242602,230111,242684.5
378,230093,242706,230120,242757
379,230106,242695,230169,242803.25
380,230123,242735,230200,242878.75
381,230156,242892,230260,242992.75
382,230292,242891,230315,243070.5
383,230230,242997,230335,243144.25
384,230363,243191,230392,243194.25
385,230373,243203,230424,243185
386,230373,243186,230380,243061.25
387,230458,243197,230258,242786.25
388,230493,243154,230090,242438.25
389,230194,242708,229879,242072.25
390,229888,242086,229733,241821.5
391,229783,241805,229703,241723
392,229652,241690,229671,241691
393,229607,241705,229660,241670
394,229769,241692,229641,241631.75
395,229656,241677,229603,241634.75
396,229608,241606,229618,241639.25
397,229530,241552,229629,241700.25
398,229618,241704,229649,241779.25
399,229716,241695,229677,241817.5
400,229652,241850,229702,241885.75
401,229609,241868,229758,241941
402,229732,241857,229785,242003.25
403,229814,241968,229793,242044.5
404,229877,242071,229864,242100.75
405,229716,242117,229959,242197.75
406,229764,242022,230025,242254.25
407,230098,242193,230046,242290.25
408,230259,242459,229999,242298.25
409,229977,242343,229988,242288.75
410,229848,242166,230076,242368
411,229913,242225,230144,242472.75
412,230215,242421,230101,242391.75
413,230329,242660,229947,242140.25
414,230118,242585,229759,241804.5
415,229740,241901,229598,241424.75
416,229602,241415,229474,241160.75
417,229577,241317,229347,240965.75
418,229472,241066,229227,240741.5
419,229243,240845,229231,240677.75
420,229094,240635,229215,240706.25
421,229100,240420,229205,240674.75
422,229486,240811,229218,240716.5
423,229181,240959,229189,240766.5
424,229054,240509,229250,240805
425,229152,240587,229310,240922.25
426,229368,241011,229406,241040.5
427,229425,241113,229457,241128.25
428,229295,240978,229459,241155.5
429,229534,241060,229508,241187
430,229574,241362,229544,241287.5
431,229433,241222,229554,241310.25
432,229491,241104,229581,241348.75
433,229678,241462,229631,241444.25
434,229613,241453,229648,241481.5
435,229540,241376,229651,241513.75
436,229694,241486,229674,241566.5
437,229746,241611,229707,241644.75
438,229624,241582,229736,241686.5
439,229630,241587,229697,241647
440,229826,241799,229601,241473.5
441,229864,241778,229418,241159.75
442,229466,241424,229195,240764
443,229246,240893,229065,240443.75
444,229097,240544,228991,240235.5
445,228971,240195,228957,240124
446,228944,240143,228946,240113.25
447,228952,240060,228934,240110.75
448,228959,240098,228911,240131.5
449,228928,240152,228914,240162
450,228897,240133,228966,240226
451,228861,240143,229059,240314
452,228968,240220,229137,240437.75
453,229139,240408,229176,240544
454,229269,240485,229179,240599
455,229170,240638,229192,240657.25
456,229124,240645,229213,240693.5
457,229151,240628,229227,240718.75
458,229324,240718,229255,240778.75
459,229252,240783,229288,240823.75
460,229181,240746,229279,240842.25
461,229261,240868,229271,240862.75
462,229459,240898,229281,240888.25
463,229215,240857,229285,240967.5
464,229149,240828,229385,241094.5
465,229299,240970,229417,241151
466,229476,241215,229389,241103
467,229617,241365,229298,240880
468,229274,241054,229098,240550.25
469,229189,240778,228944,240208.5
470,229112,240323,228880,239979.5
471,228816,240046,228840,239898.25
472,228658,239687,228784,239869.5
473,228935,239862,228846,239900.75
474,228950,239998,228894,239953
475,228591,239931,228965,240072.75
476,228906,239812,229145,240228
477,229130,240071,229217,240411.75
478,229234,240477,229243,240501
479,229310,240552,229295,240546
480,229194,240547,229399,240645
481,229233,240428,229480,240730.75
482,229441,240657,229505,240837
483,229726,240948,229496,240826.75
484,229520,240890,229472,240809.75
485,229334,240853,229512,240848.5
486,229405,240616,229602,240940.25
