ID,RED,IR,RED 4xS,IR 4xS
725,211264,224798,211909,225970
726,211697,225632,212313,226720
727,212122,226363,212680,227420
728,212551,227085,213059,228186
729,212882,227801,213470,229068
730,213166,228432,213980,230124
731,213637,229427,214557,231306
732,214196,230613,215202,232462
733,214920,232025,215850,233570
734,215474,233159,216345,234398
735,216219,234051,216075,233929
736,216786,235043,214488,231273
737,216900,235338,212514,227858
738,214396,231284,210531,224290
739,209870,223428,209167,221672
740,208888,221381,208916,220925
741,208971,221068,208967,220801
742,208940,220812,209142,221005
743,208865,220438,209338,221348
744,209091,220887,209532,221774
745,209672,221882,209709,222104
746,209723,222183,209768,222291
747,209641,222143,209907,222608
748,209799,222207,210192,223190
749,209908,222632,210616,224009
750,210281,223448,211119,224883
751,210781,224472,211615,225702
752,211492,225485,212061,226457
753,211921,226126,212444,227222
754,212265,226725,212887,228121
755,212567,227491,213423,229206
756,213023,228547,214061,230433
757,213691,229720,214708,231656
758,214412,231066,215327,232802
759,215118,232398,215858,233812
760,215609,233441,216243,234568
761,216167,234302,215756,233734
762,216537,235108,214057,230733
763,216660,235420,212061,227109
764,213658,230106,209985,223334
765,209372,222296,208618,220825
766,208555,220614,208304,220238
767,208354,220321,208321,220247
768,208190,220067,208497,220564
769,208115,219950,208731,221008
770,208624,220648,209003,221514
771,209057,221590,209236,221952
772,209129,221843,209482,222369
773,209202,221973,209843,222944
774,209557,222403,210314,223753
775,210039,223258,210831,224661
776,210572,224141,211349,225597
777,211086,225211,211859,226546
778,211628,226032,212348,227470
779,212111,227002,212869,228454
780,212609,227940,213460,229556
781,213042,228904,214105,230753
782,213713,229970,214777,232001
783,214474,231411,215419,233165
784,215192,232725,215937,234142
785,215728,233896,216359,235007
786,216283,234627,216703,235737
787,216544,235321,216370,235336
788,216879,236185,214847,232661
789,217105,236813,212833,228989
790,214951,233023,210751,225129
791,210451,224624,209186,222222
792,208823,221497,208710,221382
793,208778,221371,208660,221417
794,208690,221397,208743,221722
795,208547,221264,208872,222054
796,208625,221635,209075,222443
797,209109,222593,209343,222866
798,209205,222724,209646,223315
799,209359,222820,210125,224060
800,209698,223328,210758,225133
801,210322,224386,211465,226412
802,211121,225704,212167,227736
803,211890,227113,212800,229011
804,212528,228444,213403,230240
805,213128,229681,214015,231448
806,213653,230805,214594,232599
807,214302,232029,215181,233724
808,214977,233278,215734,234779
809,215442,234282,216220,235738
810,216004,235306,216730,236683
811,216512,236250,,
812,216922,237112,,
813,217482,238062,,
814,217805,238794,,
815,217752,238860,,
816,214243,232641,,
817,210007,224782,,
818,208866,222694,,
819,209099,222929,,
820,209091,223046,,
821,209286,223156,,
822,210086,224512,,
823,210565,225476,,
824,210562,225460,,
825,210761,225717,,
826,211194,226611,,
827,211964,228019,,
828,212942,229816,,
829,213886,231669,,
830,214744,233184,,
831,215185,234074,,
832,215621,234923,,
833,216144,235770,,
834,216533,236660,,
835,216881,237413,,
836,217223,237970,,
837,217834,238821,,
838,218073,239409,,
839,216260,236561,,
840,211817,228551,,
841,208864,223499,,
842,208867,223144,,
843,209453,223671,,
844,209686,224121,,
845,210252,225314,,
846,217805,238794,,
847,210543,226148,,
848,210671,226138,,
849,210916,226694,,
850,211697,228065,,
851,212806,230026,,
852,213749,231908,,
853,214585,233551,,
854,215020,234386,,
855,215480,235168,,
856,215862,236061,,
857,216220,236753,,
858,216662,237516,,
859,216951,238165,,
860,217239,238860,,
861,217549,239401,,
862,217349,239179,,
863,213518,232334,,
864,209586,224887,,
865,208728,223150,,
866,208896,223247,,
867,208989,223325,,
868,209208,223524,,
869,209780,224739,,
870,210354,225612,,
871,210325,225698,,
872,210375,225811,,
873,210829,226730,,
874,211523,227826,,
875,212329,229345,,
876,213342,231089,,
877,214129,232580,,
878,214628,233655,,
879,215028,234454,,
880,215449,235276,,
881,215912,236138,,
882,216294,236957,,
883,216506,237537,,
884,216740,238168,,
885,217009,238846,,
886,217430,239544,,
887,215580,236166,,
888,210650,226972,,
889,208482,222471,,
890,208425,222297,,
891,208365,222242,,
892,208325,222171,,
893,208553,222549,,
894,209033,223478,,
895,208976,223746,,
896,208965,223911,,
897,209341,224380,,
898,209925,225424,,
899,210644,226512,,
900,211163,227537,,
901,211650,228630,,
902,212052,229302,,
903,212566,230276,,
904,213184,231278,,
905,213767,232393,,
906,214528,233802,,
907,215192,234938,,
908,215607,235865,,
909,215976,236582,,
910,216367,237380,,
911,216382,237645,,
912,212680,231191,,
913,207967,222343,,
914,207479,221218,,
915,207683,221405,,
916,207738,221547,,
917,207857,221612,,
918,208277,222413,,
919,208768,223186,,
920,208775,223223,,
921,208788,223246,,
922,209013,223810,,
923,209570,224613,,
924,210152,225611,,
925,210638,226579,,
926,211067,227489,,
927,211407,228164,,
